"FaceID","cosine","sine","atlantis_layer","face_area","maxz","minz","uvec","Polygon #","Face #","adjacent box","roms_layer","u","v","lat","lon"
0,-0.0312347580369007,-0.999512075910229,1,2664.10201551863,-5,0,"c(9514, 9515, 9674)",44,1,45,1,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,1,2664.10201551863,-5,0,"c(9514, 9515, 9674)",44,1,45,2,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,1,2664.10201551863,-5,0,"c(9514, 9515, 9674)",44,1,45,3,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,1,2664.10201551863,-5,0,"c(9514, 9515, 9674)",45,1,44,1,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,4,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,5,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,6,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,7,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,8,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,9,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",44,1,45,10,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",45,1,44,2,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",45,1,44,3,NA,NA,NA,NA
0,-0.0312347580369007,-0.999512075910229,2,10656.4080620745,-25,-5,"c(9514, 9515, 9674)",45,1,44,4,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,1,14297.4042931767,-5,0,"c(9196, 9197, 9355, 9356, 9514, 9515)",43,1,45,1,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,1,14297.4042931767,-5,0,"c(9196, 9197, 9355, 9356, 9514, 9515)",45,2,43,1,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,2,57189.6171727066,-25,-5,"c(9196, 9197, 9355, 9356, 9514, 9515)",43,1,45,2,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,2,57189.6171727066,-25,-5,"c(9196, 9197, 9355, 9356, 9514, 9515)",43,1,45,3,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,2,57189.6171727066,-25,-5,"c(9196, 9197, 9355, 9356, 9514, 9515)",45,2,43,2,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,2,57189.6171727066,-25,-5,"c(9196, 9197, 9355, 9356, 9514, 9515)",45,2,43,3,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,2,57189.6171727066,-25,-5,"c(9196, 9197, 9355, 9356, 9514, 9515)",45,2,43,4,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,3,71487.0214658833,-50,-25,"c(9196, 9197, 9355, 9356, 9514, 9515)",43,1,45,4,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,3,71487.0214658833,-50,-25,"c(9196, 9197, 9355, 9356, 9514, 9515)",43,1,45,5,NA,NA,NA,NA
1,0.0312347913320306,0.999512074869756,3,71487.0214658833,-50,-25,"c(9196, 9197, 9355, 9356, 9514, 9515)",45,2,43,5,NA,NA,NA,NA
